pais,anio,finalizacion_primaria,gasto_educacion_pib,matricula_primaria,matricula_secundaria
Paraguay,2000,93.5158309936523,4.2302098274231,121.569923400879,64.4096298217773
Paraguay,2001,93.3145980834961,3.8335599899292,120.682579040527,68.1916809082031
Paraguay,2002,95.1730728149414,3.40773010253906,119.554328918457,69.8106307983398
Paraguay,2003,97.2467803955078,3.3827600479126,115.775802612305,67.5210266113281
Paraguay,2004,96.3996429443359,2.86989998817444,115.572067260742,68.885986328125
Paraguay,2005,98.1451568603516,,116.596778869629,68.879280090332
Paraguay,2006,98.0814666748047,,114.910606384277,68.669563293457
Paraguay,2007,99.7209396362305,2.73951005935669,113.681617736816,69.0111694335938
Paraguay,2008,100.532470703125,,112.590606689453,70.5332565307617
Paraguay,2009,101.040939331055,,111.871238708496,71.5204086303711
Paraguay,2010,99.700252378179,2.7707200050354,112.199429171095,73.1651100594436
Paraguay,2011,96.060889304313,3.69283008575439,111.292626449933,75.882698059082
Paraguay,2012,95.9523198357184,3.66877007484436,115.087921142578,82.8002090454102
Paraguay,2013,,2.67871193892232,,
Paraguay,2014,,2.59655894629063,,
Paraguay,2015,,3.33377822870463,,
Paraguay,2016,98.1086017794463,3.43498992919922,100.612358093262,81.8651046483746
Paraguay,2017,,3.09062070242279,,
Paraguay,2018,,3.2961960606943,,
Paraguay,2019,,3.48983027194334,,
Paraguay,2020,84.7860722939556,3.93615007400513,90.8342908567893,85.6669309236136
Paraguay,2021,,3.41070008277893,92.5220031738281,84.787987118923
Paraguay,2022,87.148745461088,3.39619994163513,91.0286415669387,82.3071472143291
Paraguay,2023,90.271367469734,3.393709897995,90.3532686843589,79.7518585422984
United States,2005,,,101.8740234375,95.0524826049805
United States,2013,,,99.455436706543,96.1864929199219
United States,2014,,,99.6733779907227,96.9245376586914
United States,2015,,4.93064022064209,100.299911499023,97.6525497436523
United States,2016,,4.78327989578247,101.362861633301,98.7699279785156
United States,2017,98.8321990966797,5.09296989440918,101.821441650391,98.9523391723633
United States,2018,100.092697143555,4.89502000808716,101.256561279297,99.2755813598633
United States,2019,100.489051818848,4.95746994018555,100.981300354004,100.063430786133
United States,2020,100.923667907715,5.39530992507935,100.305793762207,100.509819030762
United States,2021,101.091278076172,5.42038011550903,98.3054885864258,101.192489624023
United States,2022,95.743522644043,,96.9717330932617,97.4734878540039
